Card Name,Card Page Link,Apply Link,Image URL,Card Type,Joining Fee,Annual Fee,Best For,USP
IndusInd Legend Credit Card,https://cardinsider.com/indusind-bank/indusind-legend-credit-card/,https://cardinsider.com/go/indusind,,Joining FeeNilRenewal FeeNil,Joining FeeNilRenewal FeeNil,Best Suited ForShopping,Reward TypeReward Points,Welcome BenefitsN/A
,,,,Joining FeeNilRenewal FeeNil,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Axis Bank Atlas Credit Card,https://cardinsider.com/axis-bank/axis-bank-atlas-credit-card/,https://cardinsider.com/go/axisbank,,"Joining FeeRs. 5,000 + GSTRenewal FeeRs. 5,000 + GST","Joining FeeRs. 5,000 + GSTRenewal FeeRs. 5,000 + GST",Best Suited ForTravel,Reward TypeReward Points,"Welcome Benefits2,500 Edge Miles on Completing 1 Transaction Within 30 Days of Card Issuance"
,,,,"Joining FeeRs. 5,000 + GSTRenewal FeeRs. 5,000 + GST",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
IDFC FIRST Select Credit Card,https://cardinsider.com/idfc-first-bank/idfc-first-select-credit-card/,https://cardinsider.com/go/idfcbank,,Joining FeeNilRenewal FeeNil,Joining FeeNilRenewal FeeNil,Best Suited ForTravel | Shopping,Reward TypeReward Points,"Welcome BenefitsVouchers worth ₹500 on spends of ₹5,000 within 30 days of card issuance. Also, get a 5% cashback on EMI transactions (up to Rs. 1,000) within 30 days of card issuance."
,,,,Joining FeeNilRenewal FeeNil,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BPCL SBI Octane Credit Card,https://cardinsider.com/sbi-card/bpcl-sbi-card-octane/,https://cardinsider.com/go/sbibpcloctane,,"Joining FeeRs. 1,499 + GSTRenewal FeeRs. 1,499 + GST","Joining FeeRs. 1,499 + GSTRenewal FeeRs. 1,499 + GST",Best Suited ForTravel | Fuel | Food,Reward TypeReward Points,"Welcome Benefits6,000 Bonus Reward Points Worth ₹1,500"
,,,,"Joining FeeRs. 1,499 + GSTRenewal FeeRs. 1,499 + GST",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
American Express Platinum Travel Credit Card,https://cardinsider.com/american-express/american-express-platinum-travel-credit-card/,,,"Joining Fee₹5,000 + GSTRenewal Fee₹5,000 + GST","Joining Fee₹5,000 + GSTRenewal Fee₹5,000 + GST",Best Suited ForTravel | Shopping,Reward TypeReward Points,"Welcome Benefits10,000 Membership Rewards Points"
,,,,"Joining Fee₹5,000 + GSTRenewal Fee₹5,000 + GST",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
